epoch,accuracy,loss,val_accuracy,val_loss
0,0.33313596,1.7673175914512873,0.39175257086753845,1.7140715031545453
1,0.43230346,1.5072836820772564,0.4717191457748413,1.4420473465649788
2,0.4804765,1.3860759611907743,0.49484536051750183,1.3586095868793826
3,0.50660074,1.3144975696687493,0.5133742094039917,1.2906269351065607
4,0.5232157,1.2721009000498962,0.5345500111579895,1.2795837278417905
5,0.53516316,1.243099520242909,0.48690444231033325,1.39082046347629
6,0.541224,1.2203724381691892,0.5391473770141602,1.2310053873739724
7,0.55111635,1.1967645853040543,0.5555865168571472,1.186923133891816
8,0.5585008,1.1763609101262484,0.545416533946991,1.2158948249988284
9,0.5670347,1.1580126572354525,0.5612984299659729,1.161940420195398
10,0.5704135,1.1478809769792473,0.5788520574569702,1.1456436988669008
11,0.573827,1.1390928979403148,0.5065478086471558,1.3043551950874552
12,0.57741475,1.1277974831210462,0.5678461790084839,1.1699853365419302
13,0.5830576,1.1130045933170194,0.5769016146659851,1.1302642103987306
14,0.58688915,1.1033606019495605,0.5777375102043152,1.132499628593145
15,0.5892577,1.0939969989738476,0.591947615146637,1.1019661904344589
16,0.59218365,1.0925162291758495,0.5629701614379883,1.178554164031383
17,0.59789616,1.0762591063965907,0.5632488131523132,1.195815662864059
18,0.5994636,1.0701365878686722,0.5731401443481445,1.1402287771190964
19,0.60103106,1.0624894077092146,0.5849819183349609,1.1269753197668388
20,0.6057682,1.0567255805285234,0.5762050747871399,1.1383585233680382
21,0.6030861,1.0599272710169416,0.6021175980567932,1.0928973653383594
22,0.6108886,1.046989060377534,0.6085260510444641,1.0681377219336714
23,0.6094256,1.04378874873728,0.57704097032547,1.122468219357435
24,0.61116725,1.0345234165201118,0.5986347198486328,1.0733811314905144
25,0.60959977,1.0395776245461068,0.6096405386924744,1.0643535547184726
26,0.61485946,1.0256543500536623,0.5984954237937927,1.0729181959822371
27,0.61705387,1.0220170254874925,0.607690155506134,1.0615275031379685
28,0.6205023,1.0183714141815474,0.6107550859451294,1.0441881784923763
29,0.6210944,1.0178668891097598,0.5841460227966309,1.1100485377505682
30,0.6247518,1.012677382086216,0.5849819183349609,1.1329896419484757
31,0.6246125,1.0036103102251415,0.6189746260643005,1.037679002872248
32,0.6237069,1.0041539538819744,0.6090832948684692,1.047917086937262
33,0.6285137,0.9948807293321775,0.5958484411239624,1.0894284777469907
34,0.6279564,0.994663005146704,0.5969629287719727,1.0845310266123704
35,0.6257968,0.99701168027109,0.6057397723197937,1.0636654766730593
36,0.6285137,0.9959837118532678,0.6032320857048035,1.0754521453935277
37,0.6304991,0.9893359712366981,0.6023961901664734,1.0801070143864924
38,0.6316138,0.9838022331325457,0.6127054691314697,1.0693354811233942
39,0.6325891,0.9839230402123281,0.6128448247909546,1.0390597596312008
40,0.6364555,0.9755258727908911,0.6173028945922852,1.0408074212260285
41,0.63332057,0.9765639485367463,0.6121482253074646,1.065489708513694
42,0.63453966,0.9763625891315197,0.6100584864616394,1.0533515259926616
43,0.6370128,0.9676514213505142,0.6134020686149597,1.0578172478911005
44,0.65940994,0.9199801602704576,0.6287266612052917,1.002454388935475
45,0.66083807,0.9093057227504677,0.6344385743141174,0.9947630154053525
46,0.6612909,0.9040004130777402,0.6320702433586121,0.9930340180359832
47,0.66146505,0.9037892548736225,0.6359710097312927,0.992637851969649
48,0.66567975,0.8959145488532726,0.6362496614456177,0.9911006057817114
49,0.6705911,0.8959068639711334,0.6324881315231323,0.9971994900145416
